Dti,Cscore_b,Curr_rte,Act_upb,Next_stat,UMP,yqtr,QGT_UMP,QDT_UMP,AG_UMP,lagging_UMP,QGT_GDP,QRT_GDP,AG_GDP,GDP_Annual_Rate,Ggr,CLTV,HS,PPI,Permits,Orig_chn,Orig_rt,Orig_trm,Num_bo
39,587,7.375,340866.54,DEL,9.6,2009Q3,0.03521,0.33333,60.56%,1.0333333333,0.00363,1.00364,-3.05%,1.46%,0.0036279014,76.40475697,588.33,173.87,606.67,C,7.375,360,2
39,587,7.375,340316.63,DEL,9.9,2009Q4,0.03067,0.30000,44.66%,0.3333333333,0.01092,1.01098,0.18%,4.47%,0.010864507,76.352040608,567.67,176.90,623.33,C,7.375,360,2
39,587,7.375,339196.39,DEL,9.8,2010Q1,-0.01012,-0.10000,18.95%,0.3,0.00384,1.00385,1.71%,1.55%,0.0038330486,77.411807291,618.00,182.07,657.67,C,7.375,360,2
39,587,7.375,338338.01,DEL,9.6,2010Q2,-0.02055,-0.20000,3.58%,-0.1,0.00918,1.00922,2.80%,3.74%,0.0091360461,76.814509808,602.00,184.23,599.67,C,7.375,360,2
39,587,7.375,337756.93,DEL,9.5,2010Q3,-0.01745,-0.16667,-1.73%,-0.2,0.00735,1.00737,3.18%,2.98%,0.0073181624,78.005120544,579.67,184.63,574.00,C,7.375,360,2
39,587,7.375,336538.19,DEL,9.8,2010Q4,0.00351,0.03333,-4.36%,-0.166666667,0.00501,1.00502,2.57%,2.02%,0.0049939606,78.674901564,542.33,188.00,583.33,C,7.375,360,2
50,636,6.5,238680.42,CUR,4.7,2007Q3,0.03637,0.16667,0.72%,0,0.00542,1.00543,2.22%,2.19%,0.0054033584,69.240714857,"1,289.00",173.67,"1,314.33",R,6.5,360,2
50,636,6.5,237240.28,CUR,5.1,2008Q1,0.04082,0.20000,11.11%,0.1333333333,-0.00576,0.99425,1.15%,-2.28%,-0.005780217,71.861845743,"1,064.00",183.87,"1,025.00",R,6.5,360,2
43,663,6.125,39567.72,SDQ,7.9,2012Q4,-0.02948,-0.23333,-9.65%,-0.166666667,0.00114,1.00114,1.47%,0.46%,0.0011374372,73.5469533,908.00,202.27,915.00,R,6.125,360,2
45,631,4.25,133555.09,DEL,4.2,2017Q3,-0.01538,-0.06667,-12.24%,-0.2,0.00788,1.00791,2.42%,3.20%,0.0078459297,37.803191302,"1,181.33",194.03,"1,277.00",R,4.25,360,1
42,633,6,266020.11,CUR,8.3,2009Q1,0.18555,1.40000,65.33%,0.8666666667,-0.01129,0.98877,-3.29%,-4.42%,-0.011354426,108.57306774,525.67,169.53,538.67,B,6,360,1
